"conversation_id","created_at","favorite_count","full_text","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","id","media/0/media_url","media/0/type","media/1/media_url","media/1/type","media/2/media_url","media/2/type","media/3/media_url","media/3/type","reply_count","retweet_count","url","urls/0/display_url","urls/0/expanded_url","urls/0/url","urls/1/display_url","urls/1/expanded_url","urls/1/url","urls/2/display_url","urls/2/expanded_url","urls/2/url","user_mentions/0/id_str","user_mentions/0/name","user_mentions/0/screen_name","user_mentions/1/id_str","user_mentions/1/name","user_mentions/1/screen_name","user_mentions/2/id_str","user_mentions/2/name","user_mentions/2/screen_name","user_mentions/3/id_str","user_mentions/3/name","user_mentions/3/screen_name","user_mentions/4/id_str","user_mentions/4/name","user_mentions/4/screen_name","user_mentions/5/id_str","user_mentions/5/name","user_mentions/5/screen_name"
"1594014139529183236","2022-11-19T17:06:00.000Z","294","🔥 Top 8 Machine Learning algorithms explained: https://t.co/5nhDmwGym5

#MachineLearning #Algorithms #DSDojo https://t.co/BQnCMTF8uj","MachineLearning","Algorithms","DSDojo",,,,,,,,,,,,,,,,,,,,,,,"1594014139529183236","https://pbs.twimg.com/media/Fh8TacbWYAMi3u-.jpg","photo",,,,,,,"5","122","https://twitter.com/DataScienceDojo/status/1594014139529183236","hubs.la/Q01syN7T0","https://hubs.la/Q01syN7T0","https://t.co/5nhDmwGym5",,,,,,,,,,,,,,,,,,,,,,,,
"1591340674380861441","2022-11-12T08:02:37.000Z","5","Every story in the world has one of 6 basic plots ..

In 1995 Kurt Vonnegut chalked out various story arcs on a blackboard, plotting how protagonist fortunes change in the course of a narrative.

New text-mining techniques are clarifying his work | BBC https://t.co/x8qgBbs03E https://t.co/7u084g6bDj",,,,,,,,,,,,,,,,,,,,,,,,,,"1591340674380861441","https://pbs.twimg.com/media/FhWT6AQVIAEBQTN.jpg","photo",,,,,,,"0","2","https://twitter.com/neurosocialself/status/1591340674380861441","bbc.com/culture/articl…","https://www.bbc.com/culture/article/20180525-every-story-in-the-world-has-one-of-these-six-basic-plots","https://t.co/x8qgBbs03E",,,,,,,,,,,,,,,,,,,,,,,,
"1592095806836084737","2022-11-14T10:03:14.000Z","2","SoLA invites you to a lecture on “Text Mining for Computational Social Science” by Dr. Lipika Dey (Principal Scientist, TCS Innovation Labs, New Delhi) on Tuesday, November 15, 2022, 6:00 -7:30 pm.
Venue: Room No.105, Lecture Hall Building, IIT Jodhpur Campus. https://t.co/13n80SD0OG",,,,,,,,,,,,,,,,,,,,,,,,,,"1592095806836084737","https://pbs.twimg.com/media/FhhCr69agAASXh4.jpg","photo",,,,,,,"0","0","https://twitter.com/SoLA_IITJ/status/1592095806836084737",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1592188426207776770","2022-11-14T16:11:16.000Z","1","Check out our events happening this week! 

*Intro to Text Mining in R - happening Tuesday Nov. 15th at 2:30pm

*Confronting Hate on Campus - happening Thursday Nov. 17th at 3pm

Click the link in our bio to register!! https://t.co/DDGR9Iq0Qp",,,,,,,,,,,,,,,,,,,,,,,,,,"1592188426207776770","https://pbs.twimg.com/media/FhiW7yHXkAECFmx.jpg","photo","https://pbs.twimg.com/media/FhiW7yKXoAUxypl.jpg","photo","https://pbs.twimg.com/media/FhiW7yGXEAE5zfl.jpg","photo","https://pbs.twimg.com/media/FhiW7yJWIAMFqQS.jpg","photo","0","1","https://twitter.com/CTRL_AU/status/1592188426207776770",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1592521418520301568","2022-11-15T14:14:28.000Z","9","The RuMOR team is growing! Thanks to @SSHRC_CRSH 's Special Response Fund for Trainees (Ukraine), we'll be supporting a talented Ukrainian grad student and our analysis will soon expand to include text mining. 

We're grateful to SSHRC for this amazing opportunity! 👏👏👏",,,,,,,,,,,,,,,,,,,,,,,,,,"1592521418520301568",,,,,,,,,"0","2","https://twitter.com/RuMOR_CarletonU/status/1592521418520301568",,,,,,,,,,"139525231","SSHRC","SSHRC_CRSH",,,,,,,,,,,,,,,
"1592557097103036418","2022-11-15T16:36:14.000Z","30","I'm doing a lot of preaching right now to colleagues at History departments about what's happening w/ text mining research in Europe (which is booming) vs the US (which has invested in data science but excluded humanists). If you're a History chair, you could invite me to talk.",,,,,,,,,,,,,,,,,,,,,,,,,,"1592557097103036418",,,,,,,,,"0","7","https://twitter.com/joguldi/status/1592557097103036418",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1592577060483964928","2022-11-15T17:55:34.000Z","2","Why my #Geosis package is simply the most robust package? because it makes you perform an in-depth analysis using simple code. Geosis runs (i) text mining, (ii) network analysis, and (iii) forecasts. Yes, all in one single simple package :)  (PS, it evolves). https://t.co/U8QbuS3RTk","Geosis",,,,,,,,,,,,,,,,,,,,,,,,,"1592577060483964928","https://pbs.twimg.com/media/Fhn3xCfXkAApTQt.jpg","photo",,,,,,,"0","1","https://twitter.com/datum_geek/status/1592577060483964928",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1593026803253510144","2022-11-16T23:42:41.000Z","12","Text Mining and Analytics #TextMining https://t.co/JYeks7TJnn","TextMining",,,,,,,,,,,,,,,,,,,,,,,,,"1593026803253510144",,,,,,,,,"0","7","https://twitter.com/DD_Serena_/status/1593026803253510144","imp.i384100.net/c/2840738/1242…","https://imp.i384100.net/c/2840738/1242836/14726?prodsku=crse%3AbVgqTevEEeWvGQrWsIkLlw&u=https%3A%2F%2Fwww.coursera.org%2Flearn%2Ftext-mining&intsrc=CATF_9419","https://t.co/JYeks7TJnn",,,,,,,,,,,,,,,,,,,,,,,,
"1593045666548547584","2022-11-17T00:57:38.000Z","0","Let's speed up my booming Twitter career! Here I'm presenting my methodological remarks regarding the adaptation of text mining in multi-method criminological research design. @ASCRM41 https://t.co/rDefsVCfbd",,,,,,,,,,,,,,,,,,,,,,,,,,"1593045666548547584","https://pbs.twimg.com/media/FhuiOh1WYAA0Rkc.jpg","photo",,,,,,,"0","0","https://twitter.com/akos_szigeti/status/1593045666548547584",,,,,,,,,,"2687800424","Amer Soc of Crim","ASCRM41",,,,,,,,,,,,,,,
"1593167430372704261","2022-11-17T09:01:29.000Z","2","Are you after a course that will teach you the fundamentals of #Data #Science and Analysis?

Learn:

&gt; Data Management
&gt; Integration of Python with Stata
&gt; Missing values and how to manage them
&gt; Data Visualisation
&gt; Text mining

Book your place: https://t.co/MaBVA92ojS

#Stata https://t.co/zBHat6x49p","Data","Science","Stata",,,,,,,,,,,,,,,,,,,,,,,"1593167430372704261","https://pbs.twimg.com/media/FhwRVUvX0AEnWBw.jpg","photo",,,,,,,"0","0","https://twitter.com/statauk/status/1593167430372704261","pulse.ly/51znuv8osr","https://pulse.ly/51znuv8osr","https://t.co/MaBVA92ojS",,,,,,,,,,,,,,,,,,,,,,,,
